Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product id,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID
GPA.3325-4462-7144-19893,2021-12-01,1638324418,Charged,minsk,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.3,5.79,LAKE GENEVA,WI,53147,US,,
GPA.3355-0634-1351-98460,2021-12-01,1638344202,Charged,minsk,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.31,3.8,Tucson,AZ,85705,US,,
GPA.3351-5673-3122-67736,2021-12-01,1638344236,Charged,minsk,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.48,5.97,Tucson,AZ,85705,US,,
GPA.3389-6655-3794-81339,2021-12-01,1638350129,Charged,star2qltesq,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.0,3.49,UNINCORPORATED,AK,99654,US,,
GPA.3311-0142-6457-92656,2021-12-01,1638350143,Charged,star2qltesq,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.0,5.49,UNINCORPORATED,AK,99654,US,,
GPA.3343-4702-5432-38466,2021-12-01,1638372508,Charged,kukui_cheets,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,EUR,4.09,0.9,4.99,,,,IT,,
GPA.3376-6320-1888-65020,2021-12-02,1638432197,Charged,aura,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.25,3.74,Lindon,UT,84042,US,,
GPA.3394-2029-3743-32532,2021-12-02,1638432357,Charged,aura,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.4,5.89,Lindon,UT,84042,US,,
GPA.3319-8033-9737-47036,2021-12-02,1638440809,Charged,surfna,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.17,3.66,Waianae,HI,96792,US,,
GPA.3304-0148-9974-68693,2021-12-02,1638481845,Charged,p3q,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.37,5.86,BEAVERCREEK,OH,45432,US,,
