Date,Package Name,Daily Average Rating,Total Average Rating
2021-06-01,com.vansteinengroentjes.apps.ddfive,5.0,4.15
2021-06-02,com.vansteinengroentjes.apps.ddfive,2.0,4.15
2021-06-03,com.vansteinengroentjes.apps.ddfive,,4.15
2021-06-04,com.vansteinengroentjes.apps.ddfive,,4.15
2021-06-05,com.vansteinengroentjes.apps.ddfive,,4.15
2021-06-06,com.vansteinengroentjes.apps.ddfive,,4.15
2021-06-07,com.vansteinengroentjes.apps.ddfive,5.0,4.15
2021-06-08,com.vansteinengroentjes.apps.ddfive,5.0,4.15
2021-06-09,com.vansteinengroentjes.apps.ddfive,,4.15
2021-06-10,com.vansteinengroentjes.apps.ddfive,,4.15
2021-06-11,com.vansteinengroentjes.apps.ddfive,,4.15
2021-06-12,com.vansteinengroentjes.apps.ddfive,4.0,4.15
2021-06-13,com.vansteinengroentjes.apps.ddfive,,4.15
2021-06-14,com.vansteinengroentjes.apps.ddfive,,4.15
2021-06-15,com.vansteinengroentjes.apps.ddfive,,4.15
2021-06-16,com.vansteinengroentjes.apps.ddfive,5.0,4.15
2021-06-17,com.vansteinengroentjes.apps.ddfive,5.0,4.15
2021-06-18,com.vansteinengroentjes.apps.ddfive,,4.15
2021-06-19,com.vansteinengroentjes.apps.ddfive,,4.15
2021-06-20,com.vansteinengroentjes.apps.ddfive,4.0,4.15
2021-06-21,com.vansteinengroentjes.apps.ddfive,,4.15
2021-06-22,com.vansteinengroentjes.apps.ddfive,1.0,4.15
2021-06-23,com.vansteinengroentjes.apps.ddfive,5.0,4.15
2021-06-24,com.vansteinengroentjes.apps.ddfive,,4.15
2021-06-25,com.vansteinengroentjes.apps.ddfive,5.0,4.15
2021-06-26,com.vansteinengroentjes.apps.ddfive,4.5,4.15
2021-06-27,com.vansteinengroentjes.apps.ddfive,2.0,4.15
2021-06-28,com.vansteinengroentjes.apps.ddfive,,4.15
2021-06-29,com.vansteinengroentjes.apps.ddfive,,4.15
2021-06-30,com.vansteinengroentjes.apps.ddfive,,4.15
2021-07-01,com.vansteinengroentjes.apps.ddfive,,4.15
2021-07-02,com.vansteinengroentjes.apps.ddfive,3.0,4.15
2021-07-03,com.vansteinengroentjes.apps.ddfive,,4.15
2021-07-04,com.vansteinengroentjes.apps.ddfive,,4.15
2021-07-05,com.vansteinengroentjes.apps.ddfive,,4.15
2021-07-06,com.vansteinengroentjes.apps.ddfive,,4.15
2021-07-07,com.vansteinengroentjes.apps.ddfive,,4.15
2021-07-08,com.vansteinengroentjes.apps.ddfive,,4.15
2021-07-09,com.vansteinengroentjes.apps.ddfive,,4.15
2021-07-10,com.vansteinengroentjes.apps.ddfive,,4.15
2021-07-11,com.vansteinengroentjes.apps.ddfive,,4.15
2021-07-12,com.vansteinengroentjes.apps.ddfive,,4.15
2021-07-13,com.vansteinengroentjes.apps.ddfive,1.0,4.15
2021-07-14,com.vansteinengroentjes.apps.ddfive,,4.15
2021-07-15,com.vansteinengroentjes.apps.ddfive,2.0,4.14
2021-07-16,com.vansteinengroentjes.apps.ddfive,,4.14
2021-07-17,com.vansteinengroentjes.apps.ddfive,,4.14
2021-07-18,com.vansteinengroentjes.apps.ddfive,2.5,4.14
2021-07-19,com.vansteinengroentjes.apps.ddfive,,4.14
2021-07-20,com.vansteinengroentjes.apps.ddfive,5.0,4.14
2021-07-21,com.vansteinengroentjes.apps.ddfive,,4.14
2021-07-22,com.vansteinengroentjes.apps.ddfive,,4.14
2021-07-23,com.vansteinengroentjes.apps.ddfive,,4.14
2021-07-24,com.vansteinengroentjes.apps.ddfive,,4.14
2021-07-25,com.vansteinengroentjes.apps.ddfive,,4.14
2021-07-26,com.vansteinengroentjes.apps.ddfive,,4.14
2021-07-27,com.vansteinengroentjes.apps.ddfive,,4.14
2021-07-28,com.vansteinengroentjes.apps.ddfive,,4.14
2021-07-29,com.vansteinengroentjes.apps.ddfive,1.0,4.14
2021-07-30,com.vansteinengroentjes.apps.ddfive,5.0,4.14
2021-07-31,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-01,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-02,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-03,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-04,com.vansteinengroentjes.apps.ddfive,5.0,4.14
2021-08-05,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-06,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-07,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-08,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-09,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-10,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-11,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-12,com.vansteinengroentjes.apps.ddfive,3.0,4.14
2021-08-13,com.vansteinengroentjes.apps.ddfive,5.0,4.14
2021-08-14,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-15,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-16,com.vansteinengroentjes.apps.ddfive,2.5,4.14
2021-08-17,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-18,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-19,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-20,com.vansteinengroentjes.apps.ddfive,2.0,4.14
2021-08-21,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-22,com.vansteinengroentjes.apps.ddfive,1.0,4.14
2021-08-23,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-24,com.vansteinengroentjes.apps.ddfive,3.0,4.14
2021-08-25,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-26,com.vansteinengroentjes.apps.ddfive,5.0,4.14
2021-08-27,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-28,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-29,com.vansteinengroentjes.apps.ddfive,,4.14
2021-08-30,com.vansteinengroentjes.apps.ddfive,5.0,4.14
