Transaction ID,Date,Transaction Type,Product Title,Product ID,SKU ID,Country of Buyer,Buyer Postal Code,Amount (Merchant Currency)
GPA.3370-7096-7934-01916,2021-06-01,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,62011,4.49
GPA.3301-2849-0660-49349,2021-06-01,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,55320,2.86
GPA.3372-1497-1097-13226,2021-06-02,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,54220,4.51
GPA.3397-6490-8608-67650,2021-06-02,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,78250,4.5
GPA.3378-4840-7906-77859,2021-06-02,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,74830,2.86
GPA.3337-5066-3972-21487,2021-06-02,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,IL,7548207,3.25
GPA.3300-4898-3971-53254,2021-06-02,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,GB,YO24 4NG,2.83
GPA.3394-2237-3685-76725,2021-06-02,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,SE,226 48,1.72
GPA.3378-4260-3267-02950,2021-06-02,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,74429,2.86
GPA.3397-4615-9124-67351,2021-06-02,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,25123,4.5
GPA.3382-5533-6587-70559,2021-06-02,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,25123,2.86
GPA.3345-6361-4033-15796,2021-06-02,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,90803,4.5
GPA.3355-0549-7639-66352,2021-06-03,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,85203,2.88
GPA.3315-4276-0178-03742,2021-06-03,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,98662,4.53
GPA.3328-9013-2180-45727,2021-06-03,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,15108,4.53
GPA.3381-4880-7992-92913,2021-06-03,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,91913,4.53
GPA.3308-7535-7611-67463,2021-06-03,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,33773,2.88
GPA.3322-8772-7949-76863,2021-06-03,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,79412,2.88
GPA.3318-6051-7431-41605,2021-06-04,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,US,07480,2.88
GPA.3351-6320-5128-28222,2021-06-04,Charge,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,premium,NL,7523 ZA,1.73
GPA.3356-7810-2835-33779,2021-06-04,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,64029,4.53
GPA.3368-6856-9896-00962,2021-06-04,Charge,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,48312,4.51
