Transaction ID,Date,Timestamp,Tax Status,Transaction Type,Refund Type,Product Title,Product ID,Product Type,SKU ID,Hardware,Country of Buyer,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID
GPA.3380-6384-8628-62501,2021-10-01,11:04:32 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,x1s,GB,,CV2 3PX,GBP,2.97,1.1693,EUR,3.47,,
GPA.3343-6884-1423-78350,2021-10-01,1:40:24 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,HWAGS-Q,US,MI,49327,USD,3.49,0.8621,EUR,3.01,,
GPA.3343-6884-1423-78350,2021-10-01,1:40:24 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,HWAGS-Q,US,MI,49327,USD,-0.52,0.8621,EUR,-0.45,,
GPA.3324-5518-8717-02774,2021-10-01,2:01:09 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,crownqltesq,US,AZ,85354,USD,3.49,0.8622,EUR,3.01,,
GPA.3324-5518-8717-02774,2021-10-01,2:01:09 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,crownqltesq,US,AZ,85354,USD,-0.52,0.8622,EUR,-0.45,,
GPA.3308-1293-1423-38419,2021-10-01,4:57:17 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,beyond2q,US,CA,92840,USD,5.49,0.86255,EUR,4.74,,
GPA.3308-1293-1423-38419,2021-10-01,4:57:17 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,beyond2q,US,CA,92840,USD,-0.82,0.86255,EUR,-0.71,,
GPA.3352-5346-3105-76109,2021-10-02,12:12:27 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,o1q,US,IA,50125,USD,3.49,0.86255,EUR,3.01,,
GPA.3352-5346-3105-76109,2021-10-02,12:12:27 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,o1q,US,IA,50125,USD,-0.52,0.86255,EUR,-0.45,,
GPA.3370-1060-2349-31669,2021-10-02,12:27:03 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a20p,US,GA,31535,USD,5.49,0.86255,EUR,4.74,,
