Transaction ID,Date,Timestamp,Tax Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID
GPA.3343-4112-5826-01193,2021-11-01,1635793625,Charged,judypn,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.38,5.87,LEEDS,ND,58346,US,,
GPA.3397-2825-9429-70987,2021-11-01,1635805062,Charged,merlinnfc,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,EUR,4.19,0.8,4.99,,,,DE,,
GPA.3331-1672-8520-93384,2021-11-01,1635807251,Charged,ASUS_Z01QD_1,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,GBP,2.16,0.43,2.59,,,,GB,,
GPA.3316-0017-1728-82204,2021-11-01,1635807270,Charged,ASUS_Z01QD_1,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,GBP,3.49,0.7,4.19,,,,GB,,
GPA.3304-8267-3965-87808,2021-11-02,1635813878,Charged,acexlm,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.35,5.84,Meriden,CT,06451,US,,
GPA.3386-5676-5771-00719,2021-11-02,1635823619,Charged,sofiap,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.29,3.78,BLUE MOUND,TX,76131,US,,
GPA.3317-3591-1997-45320,2021-11-02,1635856536,Charged,c2q,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.52,6.01,LACEY,WA,98513,US,,
GPA.3348-5523-5989-62135,2021-11-02,1635874667,Charged,a51,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,EUR,4.02,0.97,4.99,,,,FI,,
GPA.3350-6668-3559-13793,2021-11-02,1635876883,Charged,mh,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,MXN,56.03,8.97,65.00,,,97173,MX,,
GPA.3379-3502-3121-09726,2021-11-02,1635896042,Charged,a12u,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.38,5.87,COHASSET,MN,55721,US,,
